block_id,iK,idF,K,F,F_hopf,dF_offset,ok,label,meanV,stdV,tstd,maxV,area_frac,npeaks,seconds
0,1,25,0.006075714285714286,0.0005909140344809397,0.0005659140344809396,2.500000000000007e-05,1,2,0.08119692310138596,1.671198134091035e-09,0.0002312397879666713,0.08119692644207566,1,0,10.1863
0,1,26,0.006075714285714286,0.0006239140344809396,0.0005659140344809396,5.8e-05,1,2,0.08586003164463975,6.619267434227865e-12,3.773118323057315e-07,0.08586003165787209,1,0,10.1191
0,1,27,0.006075714285714286,0.0006569140344809397,0.0005659140344809396,9.100000000000004e-05,1,2,0.09029664035718631,3.444476360941541e-15,5.226084464879827e-10,0.09029664035719315,1,0,10.1787
0,1,28,0.006075714285714286,0.0006899140344809397,0.0005659140344809396,0.0001240000000000001,1,2,0.09468713826215722,1.422185510963839e-17,4.889918349086936e-13,0.09468713826215724,1,8964,10.1476
0,1,29,0.006075714285714286,0.0007229140344809397,0.0005659140344809396,0.000157,1,2,0.09903257659873328,1.387778780781446e-17,4.163336342344337e-17,0.0990325765987333,1,9604,10.155
0,1,30,0.006075714285714286,0.0007559140344809396,0.0005659140344809396,0.00019,1,2,0.1033339188987027,4.51252227717562e-17,2.775557561562891e-17,0.1033339188987027,1,7868,10.1259
0,1,31,0.006075714285714286,0.0007889140344809396,0.0005659140344809396,0.000223,1,2,0.1075920518695475,1.31583092379079e-17,5.551115123125783e-17,0.1075920518695475,1,8606,10.1876
0,1,32,0.006075714285714286,0.0008219140344809397,0.0005659140344809396,0.000256,1,2,0.1118078003098771,7.557981354205991e-18,5.551115123125783e-17,0.1118078003098771,1,9414,10.161
0,1,33,0.006075714285714286,0.0008549140344809397,0.0005659140344809396,0.0002890000000000001,1,2,0.1159819382394551,3.782098211701129e-17,0,0.1159819382394552,1,7344,10.1437
0,1,34,0.006075714285714286,0.0008879140344809398,0.0005659140344809396,0.0003220000000000001,1,2,0.120115197320729,2.057285504198527e-17,5.551115123125783e-17,0.120115197320729,1,8826,10.1366
0,1,35,0.006075714285714286,0.0009209140344809396,0.0005659140344809396,0.000355,1,2,0.1242082733263333,6.171700485451649e-17,4.163336342344337e-17,0.1242082733263337,1,7450,10.1575
0,1,36,0.006075714285714286,0.0009539140344809396,0.0005659140344809396,0.000388,1,2,0.1282618311752862,7.164380233757355e-17,0,0.1282618311752863,1,7676,10.162
