mode_index,m,n,q,q2,n_valid_segments,best_mean_abs_DeltaF,best_rms_DeltaF,best_K_span,best_F_span,best_n_points,best_branch_id,best_root_id,best_kind_id,best_curve_id
234,9,14,0.26230360296293775,0.068803180127338492,4,0.0036583871027887544,0.0037439070385312957,0.037335895674986942,0.042939947512034331,1244,1,1,1,1
235,14,9,0.26230360296293775,0.068803180127338492,4,0.0036583871027887544,0.0037439070385312957,0.037335895674986942,0.042939947512034331,1244,1,1,1,1
236,5,16,0.26399016706574358,0.06969080830739921,4,0.003696376732725153,0.0037817462622142485,0.036861530223752645,0.042539628099115781,1226,1,1,1,1
237,16,5,0.26399016706574358,0.06969080830739921,4,0.003696376732725153,0.0037817462622142485,0.036861530223752645,0.042539628099115781,1226,1,1,1,1
238,12,12,0.26751209382022056,0.071562720340078489,4,0.0038065899437723324,0.0038863992428380401,0.03579023011831553,0.041064096312051129,1179,1,1,1,1
239,0,17,0.26757256020895825,0.071595074976776585,4,0.003806862777913205,0.0038867344157256594,0.035790144556040182,0.041064009606916786,1180,1,1,1,1
240,17,0,0.26757256020895825,0.071595074976776585,4,0.003806862777913205,0.0038867344157256594,0.035790144556040182,0.041064009606916786,1180,1,1,1,1
241,8,15,0.267849979960743,0.071743611764970419,4,0.0038132010625582433,0.0038926445738317749,0.035629658260606448,0.041012432099551244,1178,1,1,1,1
242,15,8,0.267849979960743,0.071743611764970419,4,0.0038132010625582433,0.0038926445738317749,0.035629658260606448,0.041012432099551244,1178,1,1,1,1
243,1,17,0.26803786288780546,0.071844295941462008,4,0.0038141279000598414,0.0038934511224891001,0.035629412710436806,0.041011286972902607,1178,1,1,1,1
244,17,1,0.26803786288780546,0.071844295941462008,4,0.0038141279000598414,0.0038934511224891001,0.035629412710436806,0.041011286972902607,1178,1,1,1,1
245,11,13,0.26842549209110156,0.072052244804350019,4,0.0038269253600532881,0.0039056091203577259,0.035578771434943757,0.040742419659626369,1179,1,1,1,1
246,13,11,0.26842549209110156,0.072052244804350019,4,0.0038269253600532881,0.0039056091203577259,0.035578771434943757,0.040742419659626369,1179,1,1,1,1
247,6,16,0.26912603738912688,0.072428824000773731,4,0.0038494560516250287,0.0039266232736240208,0.035364131341326349,0.040670774418112898,1165,1,1,1,1
248,16,6,0.26912603738912688,0.072428824000773731,4,0.0038494560516250287,0.0039266232736240208,0.035364131341326349,0.040670774418112898,1165,1,1,1,1
249,2,17,0.26942883424835778,0.072591896724429048,4,0.0038567282056503772,0.0039340988602551055,0.035312927927005439,0.040403025940957078,1160,1,1,1,1
250,17,2,0.26942883424835778,0.072591896724429048,4,0.0038567282056503772,0.0039340988602551055,0.035312927927005439,0.040403025940957078,1160,1,1,1,1
251,10,14,0.27114700108503015,0.073520696197405339,4,0.0039082397945769337,0.0039830204985147801,0.034671071434900412,0.039937716790268515,1128,1,1,1,1
252,14,10,0.27114700108503015,0.073520696197405339,4,0.0039082397945769337,0.0039830204985147801,0.034671071434900412,0.039937716790268515,1128,1,1,1,1
253,3,17,0.27173091654776677,0.073837691007889381,4,0.0039220962374710159,0.0039969937955440958,0.034617329424032027,0.039668987653364449,1128,1,1,1,1
254,17,3,0.27173091654776677,0.073837691007889381,4,0.0039220962374710159,0.0039969937955440958,0.034617329424032027,0.039668987653364449,1128,1,1,1,1
255,4,17,0.27492065821576572,0.075581368313789865,4,0.0040180103244164258,0.0040880780180835791,0.033443873911713759,0.038330351151856061,1087,1,1,1,1
256,17,4,0.27492065821576572,0.075581368313789865,4,0.0040180103244164258,0.0040880780180835791,0.033443873911713759,0.038330351151856061,1087,1,1,1,1
257,7,16,0.27506916811814802,0.075663047249209969,4,0.0040190006281700793,0.0040890588306195961,0.033443592481638841,0.038330062415871502,1084,1,1,1,1
258,16,7,0.27506916811814802,0.075663047249209969,4,0.0040190006281700793,0.0040890588306195961,0.033443592481638841,0.038330062415871502,1084,1,1,1,1
259,9,15,0.27562240211995054,0.075967708550371715,4,0.0040399184130240698,0.0041085286663420017,0.033181675517191464,0.037803872730662914,1083,1,1,1,1
260,15,9,0.27562240211995054,0.075967708550371715,4,0.0040399184130240698,0.0041085286663420017,0.033181675517191464,0.037803872730662914,1083,1,1,1,1
261,12,13,0.27884215903376269,0.077752949654610215,4,0.0041307865210117589,0.0041954589498844714,0.032054169966834259,0.036531489877532651,1032,1,1,1,1
